numero_protocollo,oggetto,data_pubblicazione,data_fine_pubblicazione,data_protocollo
17923,PROCEDURA APERTA PER L'AFFIDAMENTO DEI LAVORI DI ADEGUAMENTO ALLA NORMA CEI DELLA CABINA ELETTRICA DEL P.O. CIVICO DI PARTINICO.,2015-01-13,2015-01-26,2015-12-01
25165,AFFIDAMENTO LAVORI DI RIPRISTINO MURETTI E RIFACIMENTO FASCIA PAVIMENTO DEL TERRAZZO DI COPERTURA DEL POLIAMBULATORIO DI CASTRONOVO DI SICILIA MEDIANTE PROCEDURA DI COTTIMO FIDUCIARIO EX ART.125 COMMA 1 DEL D.LGS 163/2006,2015-01-14,2015-02-16,2015-01-14
25178,TRATTATIVA PRIVATA PER L'AFFIDAMENTO DEL SERVIZIO DI TRASLOCO E FACCHINAGGIO PRESSO VARIE STRUTTURE AZIENDALI DI PALERMO E PROVINCIA,2015-01-14,2015-01-20,2015-01-14
25187,LAVORI DI MANUTENZIONE DELL'U.O.C. DI MEDICINA SITA AL QUARTO PIANO CORPO C DEL P.O. S. CIMINO DI TERMINI IMERESE.,2015-01-14,2015-01-28,2015-01-14
25194,TRATTATIVA PRIVATA PER L'AFFIDAMENTO DEL SERVIZIO DI BIOTRITURAZIONE DEL MATERIALE DI RISULTA PROVENIENTE DALLE POTATURE DI PIANTE E ALBERATURE DELLE AREE VERDI DELL'ASP DI PALERMO E PER ASPIRAZIONE DI FOGLIAME,2015-01-14,2015-01-20,2015-01-14
30126,"PROCEDURA APERTA PER L'AFFIDAMENTO DEI SERVIZI DI PULIZIA DELLE AREE E DEI LOCALI APERTI AL PUBBLICO, COMPRESI TRA QUESTI I LOCALI TOILETTES, NONCHE' DELLE AREE E DEI LOCALI NON APERTI AL PUBBLICO ED A VARIO TITOLO UTILIZZATI DELL'AEROPORTO FALCOLNE BORSELLINO DI PALERMO PUNTA RAISI - FINO AL 24/03/2015",2015-01-15,2015-03-24,2015-01-15
34413,"BANDO INTEGRALE DI GARA A PROCEDURA NEGOZIATA PER LA FORNITURA DI UN SISTEMA PER ANALISI DEI POTENZIALI EVOCATI UDITIVI COMPRENSIVA DELLA MANUTENZIONE TRIENNALE FULL RISK PER L'UNITA' OPERATIVA DI AUDIOLOGIA DELL'A.O.U.P.""PAOLO GIACCONE"".",2015-01-16,2015-10-02,2015-01-16
41214,AVVISO DI GARA AFFIDAMENTO SERV. NOLEGGIO PULLMAN CON CONDUCENTE PER LE SCUOLE DELL' INFANZIA E DELL' OBBLIGO DELLA CITTA' DI PA,2015-01-20,2015-01-30,2015-01-19
43265,"AVVISO DI GARA AFFIDAMENTO DEI LAVORI DI MANUTENZIONE, NUOVA DISTRIBUZIONE ED AMPLIAMENTO DELL'AMBULATORIO DI OCULISTICA SITO AL PRIMO PIANO DELPADIGLIONE FLORIO DEL P.T.A. E ALBANESE E REALIZZAZIONE DI DUE SERVIZI IGIENICI, MEDIANTE PROCEDURA NEGOZIATA PREVIA PUBBLICAZIONE BANDO DI GARA EX ART. 125 D.LGS. 163/2006 E S.M.I.",2015-01-19,2015-01-30,2015-01-20
43991,"AVVISO DI GARA DEL 17/02/2015 : MUSEALIZZAZIONE DEI CIRCUITI STORICI DELLA TARGA FLORIO  IMPORTO COMPLESSIVO DELL'APPALTO : EURO201.092,03",2015-01-20,2015-02-16,2015-01-20
44306,AVVISO DI GARA  PROCEDURA NEGOZIATA PER IL SERVIZIO DI COLLABORAZIONE PER L'IMPLEMENTAZIONE DEL SISTEMA DI GESTIONE QUALITA' AGLI STANDARD INTERNAZIONALI UNI EN ISO 9001:2008,2015-01-20,2015-12-02,2015-01-20
44333,AVVISO DI GARA  ASTA PUBBLICA PER LA FORNITURA DI SCUOLABUS IN 2 LOTTI,2015-01-20,2015-01-03,2015-01-20
1033127,AVVISO DI GARA SERV. TRASLOCO UFFICI COMUNALI FACENTI CAPO AREA AMMIN. RIQUALIF. URBANA E INFRASTRUTTURE NONCHE' AREA PIANIFICAZIONE TERRITORIO,2014-12-23,2015-04-02,2014-12-22
1035783,AVVISO GARA MANUTENZIONE ORDINARIA E STRAORDINARIA DEL GIARDINO DI PIAZZA LOLLI. CUP D76H00000000009-CIG 558977081F,2014-12-22,2015-02-02,2014-12-22
1036784,GARA PALAV070-14 AI SENSI DELL'ART.122 D.LGS. n°163/2006 e s.m.i.,2014-12-22,2015-01-22,2014-12-22
1037227,AVVISO DI GARA SERV. RIPARAZIONE E REVISIONE PARTI DI LATTONERIA E VERNICIATURA MEZZI P.M. COMUNE PA,2014-12-24,2015-04-02,2014-12-23
1040361,"INSERZIONE AVVISO DI RETTIFICA BANDO DI GARA E RIAPERTURA TERMINI RELATIVO ALLA PROCEDURA APERTA PER L'APPALTO DELLA FORNITURA DI GRUPPI DI MISURA DEL GAS DELLA CLASSE G4 CON REQUISITI FUNZIONALI MINIMI E FUNZIONI DI TELELETTURA E TELEGESTIONE,CONFORMI ALLA DELIBERA A.E.E.G.S.I 155/08 E S.M.I BANDO DI GARA INVIATO CON NOTA DEL 30/10/2014 PROT.N.5515",2014-12-24,2015-01-23,2014-12-24
1041511,AVVISO DI GARA AFFIDAMENTO SERV. LAVORI ELIOGRAFICI E SIMILARI,2014-12-25,2015-01-21,2014-12-24
1044299,"AVVISO DI GARA SERV. RIMOZIONE, TRASPORTO E SMALTIMENTO RIFIUTI PERICOLOSI (CEMENTO AMIANTO) RISCONTRATI SUL SUOLO ALL'INTERNO DEL PARCO NINNI CASSARA'",2014-12-30,2015-01-14,2014-12-29
1044562,AVVISO DI GARA FORNITURA MANGIME PER CANI E GATTI,2014-12-30,2015-01-14,2014-12-29
1044720,AVVISO DI GARA FORNITURA MERCERIA PER LABORTORI TEATRALI DELLE SCUOLE,2014-12-30,2015-01-14,2014-12-29
1045352,AVVISO DI GARA SERV. TRASLOCO ARREDI CANILE MUNICIPALE,2014-12-31,2015-01-15,2014-12-30
